Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
20167,04/03/2008,04/07/2008,2008,Industrial/commercial  construction/repair/demolit,20910
15322,09/27/2004,10/13/2004,2004,Residential House/yard,20854
14947,07/09/2004,07/30/2004,2004,Industrial/commercial   Electrical Amp Equip,20877
14847,06/22/2004,07/06/2004,2004,Residential   Construction/repair/demolition,20878
20172394,10/23/2017,11/21/2017,2017,Residential   El  Amplification Equip,20905
20231084,01/24/2023,02/28/2023,2023,Residential   Construction/repair/demolition,20815
20181851,06/04/2018,06/25/2018,2018,Industrial/commercial  construction/repair/demolit,20850
22608,11/03/2009,12/03/2009,2009,Industrial/commercial   Equipment Noise,20816
20234,04/16/2008,02/13/2009,2008,Industrial/commercial   Equipment Noise,20852
20002,02/25/2008,02/25/2008,2008,Industrial/commercial   Refuse Noise Collection,20852
20241664,05/13/2024,05/14/2024,2024,Residential   El  Amplification Equip,20886
20251265,03/10/2025,,2025,Noise Industrial/commercial   Leaf Blower Noise,20905
20181772,05/16/2018,06/07/2018,2018,Residential   Construction/repair/demolition,20817
24824,05/06/2011,05/31/2011,2011,Industrial/commercial   Equipment Noise,20877
17939,07/20/2006,06/28/2007,2006,Industrial/commercial   Electrical Amp Equip,20850
20241775,06/04/2024,10/04/2024,2024,Industrial/commercial   Equipment Noise,20816
4658,07/06/1995,09/29/1995,1995,Residential   El  Amplification Equip,20879
20211006,01/06/2021,02/11/2021,2021,Residential Muti Tenant Dwelling,20874
20151706,05/26/2015,06/12/2015,2015,Residential   El  Amplification Equip,20874
8945,08/19/1999,09/07/1999,1999,Residential   El  Amplification Equip,20876
20222537,12/05/2022,01/11/2023,2022,Waiver Request,20912
20241063,01/16/2024,07/12/2024,2024,Waiver Request,20910
20202407,09/02/2020,09/04/2020,2020,Information Request,20877
8018,11/07/1997,12/04/1997,1997,Residential House/yard,20832
7174,08/28/1997,09/05/1997,1997,Industrial/commercial  construction/repair/demolit,20854
20211773,05/19/2021,06/11/2021,2021,Residential Muti Tenant Dwelling,20851
21897,06/24/2009,08/18/2009,2009,Residential   Construction/repair/demolition,20814
22942,02/16/2010,08/04/2010,2010,Industrial/commercial   Equipment Noise,20852
20241988,07/11/2024,10/01/2024,2024,Industrial/commercial   Equipment Noise,20910
20152078,08/19/2015,10/12/2015,2015,Industrial/commercial   Electrical Amp Equip,20814
1991920071,07/18/1991,08/09/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,20832
20171109,02/03/2017,03/06/2017,2017,Industrial/commercial   Electrical Amp Equip,20910
20171072,01/23/2017,06/26/2017,2017,Industrial/commercial   Equipment Noise,20886
10459,09/30/1998,11/25/1998,1998,Industrial/commercial  construction/repair/demolit,20850
20151834,06/23/2015,07/01/2015,2015,Residential   Mechanical,20872
21893,06/23/2009,07/23/2009,2009,Industrial/commercial   Electrical Amp Equip,20910
20221900,07/05/2022,10/05/2022,2022,Industrial/commercial   Equipment Noise,20854
20222127,08/22/2022,10/25/2022,2022,Industrial/commercial   Electrical Amp Equip,20902
26503,06/11/2012,08/20/2012,2012,Waiver Request,20874
14850,06/22/2004,07/16/2004,2004,Industrial/commercial   Electrical Amp Equip,20814
20162470,11/14/2016,11/22/2016,2016,Industrial/commercial   Equipment Noise,20815
17469,03/31/2006,04/26/2006,2006,Industrial/commercial  construction/repair/demolit,20904
24340,02/01/2011,03/23/2011,2011,Residential Muti Tenant Dwelling,20904
20222283,09/26/2022,10/20/2022,2022,Residential   El  Amplification Equip,20878
20241391,03/19/2024,05/09/2024,2024,Waiver Request,20852
17585,04/25/2006,05/09/2006,2006,Residential   Mechanical,20817
20212493,10/04/2021,12/06/2021,2021,Waiver Request,20850
20212033,07/02/2021,07/06/2021,2021,Industrial/commercial  construction/repair/demolit,20910
20242303,09/16/2024,10/28/2024,2024,Industrial/commercial   Electrical Amp Equip,20814
20231533,04/26/2023,05/10/2023,2023,Industrial/commercial  construction/repair/demolit,20816
20221193,02/16/2022,06/23/2022,2022,Residential Muti Tenant Dwelling,20910 8207
20231516,04/24/2023,05/15/2023,2023,Residential Muti Tenant Dwelling,20904
23377,05/21/2010,07/14/2010,2010,Residential   Mechanical,20816
20162546,12/02/2016,12/15/2016,2016,Residential Muti Tenant Dwelling,20876
9387,01/12/1998,03/27/1998,1998,Industrial/commercial   Equipment Noise,20852
20232192,09/01/2023,09/25/2023,2023,Waiver Request,20910
20192245,08/12/2019,10/17/2019,2019,Industrial/commercial  construction/repair/demolit,20815
2013110,01/18/2013,04/01/2013,2013,Residential Muti Tenant Dwelling,20874
12763,05/05/2003,06/11/2003,2003,Industrial/commercial  construction/repair/demolit,20910
20241339,03/11/2024,05/28/2024,2024,Waiver Request,20814
10152,07/09/1998,08/12/1998,1998,Industrial/commercial   Equipment Noise,20853
18535,01/04/2007,02/05/2007,2007,Residential   Motor Vehicle Noise,20851
20221261,03/07/2022,04/25/2022,2022,Residential   El  Amplification Equip,20910
20231572,05/08/2023,06/01/2023,2023,Residential   El  Amplification Equip,20874
20192365,09/12/2019,11/21/2019,2019,Waiver Request,20814
19311,07/18/2007,10/05/2007,2007,Industrial/commercial  construction/repair/demolit,20910
1482,01/09/2001,06/06/2001,2001,Industrial/commercial   Equipment Noise,20910
20251139,02/11/2025,,2025,Waiver Request,20852
20241850,06/17/2024,,2024,Residential   Construction/repair/demolition,20878
6385,09/15/1996,11/04/1996,1996,Residential House/yard,20855
12851,05/20/2003,06/19/2003,2003,Industrial/commercial   Equipment Noise,20878
20231288,03/08/2023,04/20/2023,2023,Residential   El  Amplification Equip,20832
19944,01/31/2008,04/01/2008,2008,Residential   El  Amplification Equip,20879
16468,06/27/2005,09/12/2005,2005,Industrial/commercial   Equipment Noise,20852
20242656,11/25/2024,12/10/2024,2024,Residential   El  Amplification Equip,20912
20875,09/30/2008,10/08/2008,2008,Industrial/commercial   Equipment Noise,20910
17672,05/17/2006,08/14/2006,2006,Residential   El  Amplification Equip,20872
1251,11/24/2000,12/05/2000,2000,Industrial/commercial  construction/repair/demolit,20902
20152443,11/17/2015,12/03/2015,2015,Residential   Construction/repair/demolition,20812
20151341,03/31/2015,04/23/2015,2015,Residential   Construction/repair/demolition,20854
8533,02/16/1999,04/20/1999,1999,Residential   El  Amplification Equip,20906
20161174,02/29/2016,04/01/2016,2016,Residential   Construction/repair/demolition,20895
1721,01/17/2001,08/21/2001,2001,Industrial/commercial  construction/repair/demolit,20815
8679,06/01/1999,03/29/2001,1999,Industrial/commercial   Equipment Noise,20816
20232226,09/11/2023,11/22/2023,2023,Residential Muti Tenant Dwelling,20910
20192303,08/27/2019,09/18/2019,2019,Industrial/commercial  construction/repair/demolit,20860
20222066,08/05/2022,11/04/2022,2022,Waiver Request,20906
6368,09/23/1996,11/04/1996,1996,Residential   Motor Vehicle Noise,20879
14698,05/24/2004,08/13/2004,2004,Residential   Mechanical,20816
17719,05/31/2006,06/01/2006,2006,Industrial/commercial  construction/repair/demolit,20814
20241013,01/02/2024,05/06/2024,2024,Waiver Request,20817
2527,09/12/2001,09/12/2001,2001,Residential   Mechanical,20861
23215,04/15/2010,08/11/2010,2010,Industrial/commercial   heat Pump/ac Noise,20901
20182154,08/15/2018,09/10/2018,2018,Industrial/commercial   Electrical Amp Equip,20816
20152186,09/10/2015,11/09/2015,2015,Residential   Construction/repair/demolition,20895
22658,11/16/2009,11/17/2009,2009,Residential   El  Amplification Equip,20874
20212723,11/15/2021,05/10/2022,2021,Waiver Request,20850
1735,02/07/2001,02/26/2001,2001,Industrial/commercial   Electrical Amp Equip,20853
7428,06/13/1997,07/08/1997,1997,Residential   Construction/repair/demolition,20852
20251133,02/10/2025,03/31/2025,2025,Residential Muti Tenant Dwelling,20855
20313,05/06/2008,05/27/2008,2008,Industrial/commercial  construction/repair/demolit,20814
27306,11/20/2012,01/04/2013,2012,Residential   El  Amplification Equip,20910
