License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
48102,Willow Manor At Colesville,601 Randolph Rd,Silver Spring,20904,174566,-77.020735888,39.066307478,08/25/2022,,3,1,83,18,0.44,0.55,14,0.00,0.00,compliant,"(39.0663, -77.0207)"
17165,Strathmore House,3004 Bel Pre Rd,Silver Spring,20906,178106,-77.061278058,39.090985389,04/20/2023,,3,1,210,58,2.34,1.68,11,0.01,0.00,troubled,"(39.091, -77.0613)"
65240,Barclay Development Corp,4716 Bradley Blvd,Chevy Chase,20815,177630,-77.093291012,38.977604879,03/30/2023,,3,1,74,20,1.00,0.86,10,0.05,0.00,compliant,"(38.9776, -77.0933)"
17610,"Glenville Road, 8802",8802 Glenville Rd,Silver Spring,20901,177509,-76.997378532,38.999827368,02/27/2023,,3,1,4,5,1.20,2.72,1,0.00,0.00,at-risk,"(38.9998, -76.9974)"
17594,Montclair Apartments LP,3525 Sheffield Manor Ter,Silver Spring,20904,177515,-76.933907701,39.08013913,04/11/2023,,3,1,256,71,0.83,0.83,45,0.00,0.00,compliant,"(39.0801, -76.9339)"
28784,"Grand, The",5801 Nicholson Ln,Rockville,20852,178093,-77.113917941,39.045523342,05/16/2023,,3,1,552,141,0.75,0.58,95,0.00,0.00,compliant,"(39.0455, -77.1139)"
17680,Kensington Gardens,3403 University Blvd W,Kensington,20895,176710,-77.068367134,39.035265637,01/12/2023,,3,1,54,15,0.80,0.88,7,0.00,0.06,compliant,"(39.0353, -77.0684)"
16955,Courts Of Madison I,700 Sligo Ave,Silver Spring,20910,175478,-77.016718768,38.990394703,10/17/2022,,3,1,38,39,1.51,1.18,14,0.00,0.00,compliant,"(38.9904, -77.0167)"
17198,Bradley View,4743 Bradley Blvd,Chevy Chase,20815,176699,-77.094228121,38.978685911,01/25/2023,,3,1,34,9,0.77,0.47,7,0.00,0.00,compliant,"(38.9787, -77.0942)"
17823,"Glenville Road, 8806",8806 Glenville Rd,Silver Spring,20901,175576,-76.997251828,39.000025044,12/14/2022,,2,1,8,9,1.22,1.69,1,0.00,0.00,at-risk,"(39.0, -76.9973)"
34400,"Lewis Drive, 10325",10325 Lewis Dr,Damascus,20872,178092,-77.214792324,39.289929339,04/12/2023,,3,1,2,2,2.00,0.00,2,0.00,0.00,compliant,"(39.2899, -77.2148)"
17306,"Bonifant Street, 937",937 Bonifant St,Silver Spring,20910,174517,-77.025269484,38.994220677,08/11/2022,,3,1,2,2,2.50,2.40,0,0.00,0.00,troubled,"(38.9942, -77.0253)"
17977,Barbizon Apartments,735 Sligo Ave,Silver Spring,20910,175586,-77.019762102,38.990674285,11/22/2022,,2,1,74,20,1.65,1.55,7,0.00,0.25,troubled,"(38.9907, -77.0198)"
17741,"Avondale Street, 4516-4518",4516 Avondale St,Bethesda,20814,176686,-77.093027496,38.985921822,01/13/2023,,1,1,5,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9859, -77.093)"
17693,"Greenwood Avenue, 7815",7815 Greenwood Ave,Takoma Park,20912,175961,-76.999380752,38.988119706,11/09/2022,,1,1,6,8,2.50,2.35,0,0.12,0.12,troubled,"(38.9881, -76.9994)"
50131,"Flower Avenue, 8407",8407 Flower Ave,Takoma Park,20912,176684,-77.00195621,38.994544659,01/03/2023,,2,1,1,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9945, -77.002)"
18151,Strathmore Apartments #2,7039 Strathmore St,Chevy Chase,20815,175609,-77.092984243,38.979768735,10/04/2022,,3,1,4,4,0.00,0.00,4,0.00,0.00,compliant,"(38.9798, -77.093)"
17265,Friendly Gardens,2423 Lyttonsville Rd,Silver Spring,20910,175960,-77.05041394,39.00002645,11/22/2022,,3,1,85,59,2.06,1.25,22,0.08,0.03,at-risk,"(39.0, -77.0504)"
95496,Paramount Properties Apartments,1004 Houston Ave,Takoma Park,20912,174500,-76.999025396,38.991884083,09/16/2022,,3,1,4,6,1.83,1.53,2,0.00,0.00,at-risk,"(38.9919, -76.999)"
17972,Rock Creek Woods,13206 Twinbrook Pkwy,Rockville,20851,177634,-77.113312616,39.071904655,03/28/2023,,3,1,257,62,1.08,1.34,26,0.01,0.00,compliant,"(39.0719, -77.1133)"
